,Condition,Concentration,Time,splist,sp1OD,sp2OD,sp3OD,sp4OD,sp5OD,sp6OD,sp7OD,sp8OD,sp9OD,sp10OD,sp11OD,sp12OD,sp13OD,sp14OD,Antibiotic
120,SEHE90_1,1.5,48,[1],0.01128622754491017,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
121,SEHE90_1,1.5,48,[1],0.003764343163538872,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
122,SEHE90_2,1.5,48,"[1, 3, 4]",0.0034033697901271064,0,0.09888004729530003,0.00047100206916937627,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
123,SEHE90_2,1.5,48,"[1, 3, 4]",0.004007381974248927,0,0.09570317596566523,0.0006032618025751073,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
124,SEHE90_2,1.5,48,"[1, 3, 4]",0.003172700380335258,0,0.09720129595717707,0.0005833215945907874,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
125,SEHE90_2,1.5,48,"[1, 3, 4]",0.0034584640792733276,0,0.0934857693366364,0.00041555188549408204,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
126,SEHE90_3,1.5,48,"[1, 3, 4, 6]",0.004239622641509434,0,0.06916354806296753,0.00042647091660154074,0,0.0009867366305682708,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
127,SEHE90_3,1.5,48,"[1, 3, 4, 6]",0.007297118216238955,0,0.10867092974337397,0.0005987379049221706,0,0.001920950778291964,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
128,SEHE90_3,1.5,48,"[1, 3, 4, 6]",0.005475678733031673,0,0.09727941176470585,0.00045135746606334834,0,0.0017460407239819,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
129,SEHE90_3,1.5,48,"[1, 3, 4, 6]",0.006712630844382414,0,0.10587466852756455,0.0008575017445917655,0,0.0016614096301465456,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
130,SEHE90_1,0.75,48,[1],0.015555934959349592,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
131,SEHE90_1,0.75,48,[1],0.011288235294117639,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
132,SEHE90_1,0.75,48,[1],0.013904109589041095,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
133,SEHE90_1,0.75,48,[1],0.012484315225707728,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
134,SEHE90_2,0.75,48,"[1, 3, 4]",0.006628504260946223,0,0.09906799882456656,0.0006409638554216868,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
135,SEHE90_2,0.75,48,"[1, 3, 4]",0.014256036036036037,0,0.09183837837837838,0.0005131531531531532,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
136,SEHE90_2,0.75,48,"[1, 3, 4]",0.006354971458914111,0,0.10193951944776317,0.00038996415770609316,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
137,SEHE90_2,0.75,48,"[1, 3, 4]",0.008599019607843136,0,0.09819474153297683,0.0004786096256684492,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
138,SEHE90_3,0.75,48,"[1, 3, 4, 6]",0.01303473491773309,0,0.09987525540380687,0.0006801806645875901,0,0.0012119582750833423,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
139,SEHE90_3,0.75,48,"[1, 3, 4, 6]",0.017418231169418683,0,0.09161863831712282,0.0005785116489482018,0,0.001509160823343135,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
